Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,1.1,1.09,1.1,1.08,9.11M,0.92%
16/07/2024,1.09,1.15,1.15,1.08,15.88M,0.93%
15/07/2024,1.08,1.08,1.12,1.08,18.91M,0.00%
12/7/2024,1.08,1.12,1.1,1.07,14.61M,-3.57%
11/7/2024,1.12,1.1,1.12,1.09,15.63M,1.82%
10/7/2024,1.1,1.1,1.14,1.08,10.91M,0.00%
9/7/2024,1.1,1.16,1.17,1.1,25.80M,-5.17%
8/7/2024,1.16,1.15,1.17,1.1,28.83M,5.45%
5/7/2024,1.1,1.08,1.18,1.06,30.84M,1.85%
4/7/2024,1.08,1.05,1.08,1.05,8.39M,2.86%
3/7/2024,1.05,1.01,1.05,1.03,14.92M,3.96%
2/7/2024,1.01,1,1.04,1.01,31.72M,1.00%
1/7/2024,1,0.97,1.03,0.97,14.21M,3.09%
28/06/2024,0.97,0.95,0.99,0.95,27.01M,2.11%
27/06/2024,0.95,0.95,0.98,0.95,26.18M,0.00%
26/06/2024,0.95,0.97,0.96,0.95,23.96M,-2.06%
25/06/2024,0.97,0.96,0.97,0.95,12.78M,1.04%
24/06/2024,0.96,0.96,0.97,0.95,24.30M,0.00%
21/06/2024,0.96,0.96,0.97,0.94,46.83M,0.00%
20/06/2024,0.96,0.97,0.98,0.96,22.64M,-1.03%
19/06/2024,0.97,0.98,0.98,0.96,60.67M,-1.02%
14/06/2024,0.98,0.98,0.98,0.97,18.59M,0.00%
13/06/2024,0.98,0.98,0.98,0.97,67.30M,0.00%
11/6/2024,0.98,0.98,0.98,0.97,39.69M,0.00%
10/6/2024,0.98,0.98,0.99,0.97,7.84M,0.00%
7/6/2024,0.98,0.98,1,0.98,3.10M,0.00%
6/6/2024,0.98,0.99,1,0.98,5.96M,-1.01%
5/6/2024,0.99,0.99,1.02,0.99,9.84M,0.00%
4/6/2024,0.99,1.01,1,0.99,17.19M,-1.98%
3/6/2024,1.01,1.01,1.04,0.99,30.71M,0.00%
31/05/2024,1.01,1.02,1.05,0.99,59.11M,-0.98%
30/05/2024,1.02,1.02,1.03,1,5.22M,0.00%
29/05/2024,1.02,0.99,1.02,0.99,9.52M,3.03%
28/05/2024,0.99,1,1,0.99,5.09M,-1.00%
27/05/2024,1,0.98,1.04,0.99,3.26M,2.04%
24/05/2024,0.98,0.98,0.98,0.97,3.08M,0.00%
23/05/2024,0.98,0.98,1.04,0.98,3.39M,0.00%
22/05/2024,0.98,0.99,1,0.98,5.94M,-1.01%
21/05/2024,0.99,1,1.03,0.99,4.38M,-1.00%
20/05/2024,1,0.99,1.02,0.98,7.12M,1.01%
17/05/2024,0.99,1,1.04,0.98,3.68M,-1.00%
16/05/2024,1,1,1.01,1,6.02M,0.00%
15/05/2024,1,1.02,1.03,1,12.65M,-1.96%
14/05/2024,1.02,1.02,1.04,1,10.64M,0.00%
13/05/2024,1.02,1.03,1.03,1,1.50M,-0.97%
10/5/2024,1.03,1.01,1.05,0.98,11.09M,1.98%
9/5/2024,1.01,1,1.03,1,6.19M,1.00%
8/5/2024,1,1,1,0.97,8.04M,0.00%
7/5/2024,1,1,1.05,1,22.65M,0.00%
6/5/2024,1,1,1.04,1,20.73M,2.04%
3/5/2024,0.98,1,1,0.98,10.10M,-2.00%
2/5/2024,1,1,1.02,1,11.71M,0.00%
30/04/2024,1,1.01,1.01,1,1.14M,-0.99%
29/04/2024,1.01,1,1.07,1,3.44M,1.00%
26/04/2024,1,1,1.02,1,1.53M,0.00%
25/04/2024,1,1,1.02,1,1.64M,0.00%
24/04/2024,1,1.02,1.07,1,4.13M,-1.96%
23/04/2024,1.02,1.04,1.09,1.02,5.66M,-1.92%
22/04/2024,1.04,1,1.04,1,3.94M,4.00%
19/04/2024,1,0.99,1.07,0.99,5.52M,1.01%
18/04/2024,0.99,0.99,1.05,0.99,6.90M,0.00%
17/04/2024,0.99,1,1.05,0.99,6.47M,-1.00%
