Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,591.1,591.1,591.1,591.1,,-9.99%
16/07/2024,656.7,656.7,591.1,591.1,24.56K,0.00%
15/07/2024,656.7,656.7,591.1,591.1,59.67K,0.00%
12/7/2024,656.7,656.7,591.1,591.1,57.08K,0.00%
11/7/2024,656.7,656.7,591.1,591.1,120.45K,0.00%
10/7/2024,656.7,656.7,591.1,591.1,8.56K,0.00%
9/7/2024,656.7,656.7,591.1,591.1,10.26K,0.00%
8/7/2024,656.7,656.7,591.1,591.1,29.02K,0.00%
5/7/2024,656.7,656.7,591.1,591.1,4.32K,0.00%
4/7/2024,656.7,656.7,591.1,591.1,6.90K,0.00%
3/7/2024,656.7,656.7,591.1,591.1,8.43K,0.00%
2/7/2024,656.7,656.7,591.1,591.1,5.48K,0.00%
1/7/2024,656.7,656.7,591.1,591.1,20.25K,0.00%
28/06/2024,656.7,656.7,591.1,591.1,11.06K,0.00%
27/06/2024,656.7,656.7,591.1,591.1,203.96K,0.00%
26/06/2024,656.7,656.7,591.1,591.1,4.72K,0.00%
25/06/2024,656.7,656.7,591.1,591.1,4.20K,0.00%
24/06/2024,656.7,656.7,591.1,591.1,5.28K,0.00%
21/06/2024,656.7,656.7,591.1,591.1,5.60K,0.00%
20/06/2024,656.7,656.7,591.1,591.1,8.13K,0.00%
19/06/2024,656.7,656.7,591.1,591.1,60.00K,0.00%
14/06/2024,656.7,656.7,591.1,591.1,6.60K,0.00%
13/06/2024,656.7,656.7,591.1,591.1,19.40K,0.00%
11/6/2024,656.7,656.7,591.1,591.1,17.04K,0.00%
10/6/2024,656.7,656.7,591.1,591.1,12.89K,0.00%
7/6/2024,656.7,656.7,591.1,591.1,9.58K,0.00%
6/6/2024,656.7,656.7,591.1,591.1,16.17K,0.00%
5/6/2024,656.7,656.7,591.1,591.1,10.12K,0.00%
4/6/2024,656.7,656.7,591.1,591.1,7.29K,0.00%
3/6/2024,656.7,656.7,591.1,591.1,12.66K,0.00%
31/05/2024,656.7,656.7,591.1,591.1,28.28K,0.00%
30/05/2024,656.7,656.7,591.1,591.1,6.50K,0.00%
29/05/2024,656.7,656.7,591.1,591.1,4.21K,0.00%
28/05/2024,656.7,656.7,591.1,591.1,4.52K,0.00%
27/05/2024,656.7,656.7,591.5,591.1,6.66K,0.00%
24/05/2024,656.7,656.7,591.1,591.1,4.49K,0.00%
23/05/2024,656.7,656.7,591.1,591.1,17.40K,0.00%
22/05/2024,656.7,656.7,591.1,591.1,10.24K,0.00%
21/05/2024,656.7,656.7,591.1,591.1,12.21K,0.00%
20/05/2024,656.7,656.7,591.1,591.1,15.80K,0.00%
17/05/2024,656.7,656.7,591.1,591.1,4.36K,11.10%
16/05/2024,591.1,591.1,591.1,591.1,,0.00%
15/05/2024,591.1,591.1,591.1,591.1,,-9.99%
14/05/2024,656.7,656.7,591.1,591.1,9.09K,11.10%
13/05/2024,591.1,591.1,591.1,591.1,,0.00%
10/5/2024,591.1,591.1,591.1,591.1,,0.00%
9/5/2024,591.1,591.1,591.1,591.1,,0.00%
8/5/2024,591.1,591.1,591.1,591.1,,-9.99%
7/5/2024,656.7,656.7,591.1,591.1,4.46K,11.10%
6/5/2024,591.1,591.1,591.1,591.1,,-9.99%
3/5/2024,656.7,656.7,591.1,591.1,17.65K,0.00%
2/5/2024,656.7,656.7,591.1,591.1,8.95K,0.00%
30/04/2024,656.7,656.7,591.1,591.1,3.41K,0.00%
29/04/2024,656.7,656.7,591.1,591.1,10.66K,0.00%
26/04/2024,656.7,656.7,591.1,591.1,10.59K,0.00%
25/04/2024,656.7,656.7,595,591.1,3.79K,0.00%
24/04/2024,656.7,656.7,591.1,591.1,11.35K,0.00%
23/04/2024,656.7,656.7,591.1,591.1,1.02K,0.00%
22/04/2024,656.7,656.7,591.1,591.1,9.69K,0.00%
19/04/2024,656.7,656.7,591.1,591.1,3.06K,0.00%
18/04/2024,656.7,656.7,591.1,591.1,3.00K,0.00%
17/04/2024,656.7,656.7,591.1,591.1,1.92K,0.00%
16/04/2024,656.7,656.7,591.1,591.1,13.08K,-4.37%
15/04/2024,686.7,686.7,618.1,618.1,925.62K,0.00%
12/4/2024,686.7,686.7,618.1,618.1,82.14K,0.00%
8/4/2024,686.7,686.7,618.1,618.1,4.24K,0.00%
5/4/2024,686.7,686.7,618.1,618.1,11.57K,0.00%
4/4/2024,686.7,686.7,618.1,618.1,55.71K,0.00%
3/4/2024,686.7,686.7,618.1,618.1,58.48K,0.00%
2/4/2024,686.7,686.7,618.1,618.1,21.82K,0.00%
28/03/2024,686.7,686.7,620,618.1,4.93K,0.00%
27/03/2024,686.7,686.7,686.7,686.7,6.60K,0.00%
26/03/2024,686.7,686.7,686.7,686.7,5.44K,0.00%
25/03/2024,686.7,686.7,686.7,686.7,53.65K,0.00%
22/03/2024,686.7,686.7,686.7,686.7,6.16K,0.00%
21/03/2024,686.7,686.7,686.7,686.7,3.91K,0.00%
20/03/2024,686.7,686.7,686.7,686.7,0.68K,0.00%
19/03/2024,686.7,686.7,686.7,686.7,3.54K,0.00%
18/03/2024,686.7,686.7,686.7,686.7,36.42K,0.00%
15/03/2024,686.7,686.7,686.7,686.7,17.32K,0.00%
14/03/2024,686.7,686.7,686.7,686.7,4.21K,0.00%
13/03/2024,686.7,686.7,686.7,686.7,54.27K,0.00%
12/3/2024,686.7,686.7,686.7,686.7,7.11K,0.00%
11/3/2024,686.7,686.7,686.7,686.7,140.62K,0.00%
8/3/2024,686.7,686.7,686.7,686.7,187.92K,0.00%
7/3/2024,686.7,686.7,686.7,686.7,6.85M,0.00%
6/3/2024,686.7,686.7,686.7,686.7,86.41K,0.00%
5/3/2024,686.7,686.7,686.7,686.7,226.11K,0.00%
4/3/2024,686.7,686.7,686.7,686.7,33.44K,0.00%
1/3/2024,686.7,686.7,686.7,686.7,30.99K,0.00%
29/02/2024,686.7,686.7,686.7,686.7,18.05K,0.00%
28/02/2024,686.7,686.7,686.7,686.7,13.69K,0.00%
27/02/2024,686.7,686.7,686.7,686.7,2.54K,0.00%
26/02/2024,686.7,686.7,686.7,686.7,172.91K,0.00%
23/02/2024,686.7,686.7,686.7,686.7,18.71K,0.00%
22/02/2024,686.7,686.7,686.7,686.7,3.03K,0.00%
21/02/2024,686.7,686.7,686.7,686.7,130.04K,0.00%
20/02/2024,686.7,686.7,686.7,686.7,136.19K,0.00%
19/02/2024,686.7,763,686.7,686.7,223.99K,-10.00%
16/02/2024,763,763,763,763,122.08K,0.00%
15/02/2024,763,763,763,763,14.14K,0.00%
14/02/2024,763,763,763,763,20.30K,0.00%
13/02/2024,763,763,763,763,113.10K,0.00%
12/2/2024,763,763,763,763,34.94K,0.00%
9/2/2024,763,763,763,763,103.87K,0.00%
8/2/2024,763,763,763,763,24.91K,0.00%
7/2/2024,763,763,763,763,6.25K,0.00%
6/2/2024,763,763,763,763,39.52K,0.00%
5/2/2024,763,763,763,763,210.00K,0.00%
2/2/2024,763,763,763,763,34.71K,0.00%
1/2/2024,763,763,763,763,87.09K,0.00%
31/01/2024,763,763,763,763,169.82K,0.00%
30/01/2024,763,763,763,763,493.29K,0.00%
29/01/2024,763,694.1,763,624.7,13.04M,9.93%
26/01/2024,694.1,694.1,694.1,694.1,218.29K,0.00%
25/01/2024,694.1,694.1,694.1,694.1,196.77K,0.00%
24/01/2024,694.1,651.8,694.1,694.1,1.05M,6.49%
23/01/2024,651.8,592.6,651.8,600,5.07M,9.99%
22/01/2024,592.6,592.6,592.6,592.6,2.02M,9.99%
19/01/2024,538.8,489.9,538.8,538.8,1.29M,9.98%
18/01/2024,489.9,452.5,489.9,489.9,1.46M,8.27%
17/01/2024,452.5,411.9,452.5,452.5,1.22M,9.86%
16/01/2024,411.9,375,411.9,400,1.67M,9.84%
15/01/2024,375,350,375,375,318.54K,7.14%
12/1/2024,350,350,350,350,272.69K,0.00%
11/1/2024,350,350,350,350,1.89M,0.00%
10/1/2024,350,337.1,350,350,1.42M,3.83%
9/1/2024,337.1,325,337.1,337.1,888.61K,3.72%
8/1/2024,325,325,325,325,101.05K,0.00%
5/1/2024,325,319.9,325,325,1.04M,1.59%
4/1/2024,319.9,319.9,319.9,319.9,71.54K,0.00%
3/1/2024,319.9,319.9,319.9,319.9,599.98K,0.00%
2/1/2024,319.9,319.9,319.9,319.9,16.74K,0.00%
29/12/2023,319.9,319.9,319.9,319.9,313.36K,0.00%
28/12/2023,319.9,313,319.9,319.9,555.31K,2.20%
27/12/2023,313,320,313,313,577.50K,-2.19%
22/12/2023,320,320,320,320,1.50M,0.00%
21/12/2023,320,320,320,320,375.30K,0.00%
20/12/2023,320,320,320,320,619.81K,0.00%
19/12/2023,320,320,320,320,568.24K,0.00%
18/12/2023,320,320,320,320,198.56K,0.00%
15/12/2023,320,320,320,320,141.77K,0.00%
14/12/2023,320,320,320,320,60.77K,0.00%
13/12/2023,320,320,320,320,152.94K,0.00%
12/12/2023,320,320,320,320,89.23K,0.00%
11/12/2023,320,320,320,320,182.91K,0.00%
8/12/2023,320,320,320,320,48.14K,0.00%
7/12/2023,320,320,320,320,31.20K,0.00%
6/12/2023,320,320,320,320,220.79K,0.00%
5/12/2023,320,320,320,320,40.63K,0.00%
4/12/2023,320,320,320,320,43.35K,0.00%
1/12/2023,320,320,320,320,16.53M,0.00%
30/11/2023,320,320,320,320,216.64K,0.00%
29/11/2023,320,320,320,320,242.34K,0.00%
28/11/2023,320,328,320,320,216.76K,-2.44%
27/11/2023,328,328,328,328,72.01K,0.00%
24/11/2023,328,328,328,328,10.45K,0.00%
23/11/2023,328,328,328,328,17.10K,0.00%
22/11/2023,328,328,328,328,90.31K,0.00%
21/11/2023,328,328,328,328,38.90K,0.00%
20/11/2023,328,328,328,328,99.94K,0.00%
17/11/2023,328,328,328,328,99.46K,0.00%
16/11/2023,328,328,328,328,57.12K,0.00%
15/11/2023,328,328,328,328,79.16K,0.00%
14/11/2023,328,328,328,328,255.47K,0.00%
13/11/2023,328,328,328,328,137.69K,0.00%
10/11/2023,328,328,328,328,81.75K,0.00%
9/11/2023,328,328,328,328,92.25K,0.00%
8/11/2023,328,328,328,328,59.31K,0.00%
7/11/2023,328,328,328,328,138.60K,0.00%
6/11/2023,328,328,328,328,85.06K,0.00%
3/11/2023,328,328,328,328,228.84K,0.00%
2/11/2023,328,328,328,328,328.91K,0.00%
1/11/2023,328,328,328,328,329.50K,0.00%
31/10/2023,328,328,328,328,409.09K,0.00%
30/10/2023,328,310.1,328,328,214.17K,5.77%
27/10/2023,310.1,310.1,310.1,310.1,148.80K,0.00%
26/10/2023,310.1,310.1,310.1,310.1,246.66K,0.00%
25/10/2023,310.1,310.1,310.1,310.1,276.37K,0.00%
24/10/2023,310.1,310.1,310.1,310.1,568.12K,0.00%
23/10/2023,310.1,310.1,310.1,310.1,44.77K,0.00%
20/10/2023,310.1,310.1,310.1,310.1,15.75K,0.00%
19/10/2023,310.1,310.1,310.1,310.1,155.87K,0.00%
18/10/2023,310.1,310.1,310.1,310.1,117.82K,0.00%
17/10/2023,310.1,310.1,310.1,310.1,168.19K,0.00%
16/10/2023,310.1,310.1,310.1,310.1,1.07M,0.00%
13/10/2023,310.1,310.1,310.1,310.1,170.62K,0.00%
12/10/2023,310.1,310.1,310.1,310.1,331.36K,0.00%
