Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,63.9,64.05,67,63.9,272.57K,-0.23%
16/07/2024,64.05,65,64.05,64.05,134.49K,-1.46%
15/07/2024,65,65,67.7,63.9,69.57K,0.00%
12/7/2024,65,70,65.1,65,1.49M,-7.14%
11/7/2024,70,70,67.75,63.7,47.80K,0.00%
10/7/2024,70,70,67.75,65.05,272.87K,0.00%
9/7/2024,70,70,68.5,64.25,100.28K,0.00%
8/7/2024,70,70,68,64,147.39K,0.00%
5/7/2024,70,70,68,63.8,58.23K,0.00%
4/7/2024,70,70,70,65,143.78K,0.00%
3/7/2024,70,67,70,66.95,5.27M,4.48%
2/7/2024,67,67,67,64,336.17K,0.00%
1/7/2024,67,67,67,67,1.27M,0.00%
28/06/2024,67,70,67,67,42.98M,-4.29%
27/06/2024,70,70,70,69.45,3.62M,0.00%
26/06/2024,70,70,69,65.65,152.44K,0.00%
25/06/2024,70,70,70,67.4,5.48M,0.00%
24/06/2024,70,70,70,66.25,1.99M,0.00%
21/06/2024,70,70,70.9,65.3,531.28K,0.00%
20/06/2024,70,66.25,70,69,4.15M,5.66%
19/06/2024,66.25,60.25,66.25,66.2,1.32M,9.96%
14/06/2024,60.25,54.8,60.25,60.25,339.48K,9.95%
13/06/2024,54.8,54.8,60.25,60.25,280.55K,0.00%
11/6/2024,54.8,50.55,54.8,54.8,178.10K,8.41%
10/6/2024,50.55,50.55,55.5,49.85,278.00K,0.00%
7/6/2024,50.55,49.85,50.55,50.55,143.85K,1.40%
6/6/2024,49.85,49.75,49.85,49.85,19.57M,0.20%
5/6/2024,49.75,49.85,49.75,49.75,10.14M,-0.20%
4/6/2024,49.85,49.85,49.85,49.85,12.88M,0.00%
3/6/2024,49.85,49.55,49.85,49.85,5.70M,0.61%
31/05/2024,49.55,49.55,53.5,49.65,148.71K,0.00%
30/05/2024,49.55,49.6,49.55,49.55,800.93K,-0.10%
29/05/2024,49.6,49.75,49.6,49.6,2.22M,-0.30%
28/05/2024,49.75,49.75,49.75,49.75,2.07M,0.00%
27/05/2024,49.75,49.6,49.75,49.75,2.02M,0.30%
24/05/2024,49.6,49.6,53,49.6,62.95K,0.00%
23/05/2024,49.6,50.2,50,49.6,2.07M,-1.20%
22/05/2024,50.2,53,50.2,50.2,1.36M,-5.28%
21/05/2024,53,53,58.15,52,183.09K,0.00%
20/05/2024,53,53,58.2,50.25,418.20K,0.00%
17/05/2024,53,53,53,53,277.80K,0.00%
16/05/2024,53,53,58,51.5,200.26K,0.00%
15/05/2024,53,53,53.5,50,62.45K,0.00%
14/05/2024,53,53,54,49,81.82K,0.00%
13/05/2024,53,53,53.9,49,157.54K,0.00%
10/5/2024,53,54,53,53,305.32K,-1.85%
9/5/2024,54,54,54,49.55,43.33K,0.00%
8/5/2024,54,54,54,51,106.89K,0.00%
7/5/2024,54,54,54,49,102.89K,0.00%
6/5/2024,54,54,54,49,60.29K,0.00%
3/5/2024,54,54,54,49,162.70K,0.00%
2/5/2024,54,54,53.8,49.1,274.89K,0.00%
30/04/2024,54,54,54,49,62.89K,0.00%
29/04/2024,54,54,54.85,48.6,196.80K,0.00%
26/04/2024,54,54,54,51.8,393.87K,0.00%
25/04/2024,54,54,54,51.5,65.38K,0.00%
24/04/2024,54,54,53,51.45,55.48K,0.00%
23/04/2024,54,54,53.95,51.4,91.28K,0.00%
22/04/2024,54,55,54,54,669.45K,-1.82%
19/04/2024,55,55,60,53,432.04K,0.00%
18/04/2024,55,50,55,55,283.76K,10.00%
17/04/2024,50,50,55,50,631.80K,0.00%
16/04/2024,50,50,55,50,318.25K,0.00%
15/04/2024,50,50,55,50,455.36K,0.00%
12/4/2024,50,49.6,54.55,50,1.03M,0.81%
8/4/2024,49.6,49.6,52.95,45.6,99.88K,0.00%
5/4/2024,49.6,49.6,53.55,46,220.38K,0.00%
4/4/2024,49.6,49.6,54,46.5,194.90K,0.00%
3/4/2024,49.6,49.6,49.6,49.6,1.02M,0.00%
2/4/2024,49.6,49.6,51.95,46.5,78.38K,0.00%
28/03/2024,49.6,49.6,48.85,46.9,274.39K,0.00%
27/03/2024,49.6,49.6,49.6,49.6,269.59K,0.00%
26/03/2024,49.6,49.6,49.6,49.6,367.13K,0.00%
25/03/2024,49.6,49.6,49.6,49.6,129.71K,0.00%
22/03/2024,49.6,49.5,49.6,49.6,839.75K,0.20%
21/03/2024,49.5,47.95,49.5,47.5,14.52M,3.23%
20/03/2024,47.95,47.95,49.45,46,128.74K,0.00%
19/03/2024,47.95,46,47.95,47.95,447.77K,4.24%
18/03/2024,46,46,48,46,109.60K,0.00%
15/03/2024,46,46,48,46,159.42K,0.00%
14/03/2024,46,44.5,46,46,627.44K,3.37%
13/03/2024,44.5,44,45.5,44.5,1.27M,1.14%
12/3/2024,44,42.2,44,44,934.41K,4.27%
11/3/2024,42.2,42.05,42.2,42.15,2.37M,0.36%
8/3/2024,42.05,45.9,42.05,42.05,1.44M,-8.39%
7/3/2024,45.9,51,45.9,45.9,212.59K,-10.00%
6/3/2024,51,51,49.5,45.9,104.86K,0.00%
5/3/2024,51,51,49.9,45.9,204.37K,0.00%
4/3/2024,51,51,50,45.95,45.79K,0.00%
1/3/2024,51,51,50,45.9,657.06K,0.00%
29/02/2024,51,51,45.9,45.9,123.59K,0.00%
28/02/2024,51,51,45.95,45.9,222.22K,0.00%
27/02/2024,51,51,45.9,45.9,85.25K,0.00%
26/02/2024,51,51,48.2,45.9,651.66K,0.00%
23/02/2024,51,51,48.2,45.9,93.13K,0.00%
22/02/2024,51,51,50,45.9,134.93K,0.00%
21/02/2024,51,51,51,46.55,178.83K,0.00%
20/02/2024,51,54.5,51,51,467.42K,-6.42%
19/02/2024,54.5,54.5,54.5,54.5,658.85K,0.00%
16/02/2024,54.5,54.5,58.5,53,1.40M,0.00%
15/02/2024,54.5,54.5,59.5,53,318.55K,0.00%
14/02/2024,54.5,54.5,57,53,485.19K,0.00%
13/02/2024,54.5,57.5,54.5,54.5,532.68K,-5.22%
12/2/2024,57.5,57.5,60,53.7,342.99K,0.00%
9/2/2024,57.5,57.5,57,53,95.69K,0.00%
8/2/2024,57.5,57.5,56.5,54,372.00K,0.00%
7/2/2024,57.5,57.5,57.5,55,418.27K,0.00%
6/2/2024,57.5,63.7,57.5,57.5,1.96M,-9.73%
5/2/2024,63.7,63.7,62,57.5,326.67K,0.00%
2/2/2024,63.7,63.7,60.1,59,226.96K,0.00%
1/2/2024,63.7,63.7,60.9,57.35,465.99K,0.00%
31/01/2024,63.7,63.7,63.65,57.35,501.37K,0.00%
30/01/2024,63.7,70.75,63.7,63.7,1.51M,-9.96%
29/01/2024,70.75,70.75,63.7,63.7,268.93K,0.00%
26/01/2024,70.75,70.75,63.7,63.7,96.86K,0.00%
25/01/2024,70.75,70.75,69,63.7,622.73K,0.00%
24/01/2024,70.75,70.75,69,63.7,258.43K,0.00%
23/01/2024,70.75,70.75,69,64.45,1.48M,0.00%
22/01/2024,70.75,70.75,70.75,65.85,246.41K,0.00%
19/01/2024,70.75,71.5,70.75,67.2,707.66K,-1.05%
18/01/2024,71.5,71.5,71.5,66.5,634.12K,0.00%
17/01/2024,71.5,65,71.5,71.5,2.31M,10.00%
16/01/2024,65,62,65,60.4,2.72M,4.84%
15/01/2024,62,62,62,60.5,804.78K,0.00%
12/1/2024,62,62,62,60.3,1.22M,0.00%
11/1/2024,62,62,62,62,158.82K,0.00%
10/1/2024,62,62,62,62,1.23M,0.00%
9/1/2024,62,61,62,61,3.84M,1.64%
8/1/2024,61,61,61,61,874.00K,0.00%
5/1/2024,61,66,61,61,3.16M,-7.58%
4/1/2024,66,66,64,60.1,2.25M,0.00%
3/1/2024,66,66,64,62.5,95.85K,0.00%
2/1/2024,66,66,64.8,62,208.79K,0.00%
29/12/2023,66,62,66,65.9,725.57K,6.45%
28/12/2023,62,62,62,60.05,56.44K,0.00%
27/12/2023,62,62,63.8,60,132.43K,0.00%
22/12/2023,62,62,63.85,61.4,142.47K,0.00%
21/12/2023,62,62,64.95,61.4,178.15K,0.00%
20/12/2023,62,67.9,62,62,925.68K,-8.69%
19/12/2023,67.9,67.9,64,61.15,318.11K,0.00%
18/12/2023,67.9,67.9,62.9,61.15,61.01K,0.00%
15/12/2023,67.9,67.9,63.95,61.15,35.88K,0.00%
