Date,Price,Open,High,Low,Vol.,Change %,,
17/07/2024,87.5,83.5,87.5,87.5,507.43K,4.79%,,
16/07/2024,83.5,83.5,87,80.7,43.78K,0.00%,,
15/07/2024,83.5,83.5,87.75,83,79.31K,0.00%,,
12/7/2024,83.5,88.6,83.5,83.5,1.09M,-5.76%,,
11/7/2024,88.6,88.6,88.6,83.4,12.25K,0.00%,,
10/7/2024,88.6,88.6,90,82.3,604.05K,0.00%,,
9/7/2024,88.6,88.6,88,82.55,259.12K,0.00%,,
8/7/2024,88.6,88.6,93.7,81,455.29K,0.00%,,
5/7/2024,88.6,98,88.6,88.6,185.29K,-9.59%,,
4/7/2024,98,98,94.8,88.6,323.33K,0.00%,,
3/7/2024,98,98,94.85,89.15,119.67K,0.00%,,
2/7/2024,98,98,97,90,94.50K,0.00%,,
1/7/2024,98,98,97,90.4,90.98K,0.00%,,
28/06/2024,98,98,97.8,90.4,120.12K,0.00%,,
27/06/2024,98,98,98,98,9.61M,0.00%,,
26/06/2024,98,98,99,88.85,198.38K,0.00%,,
25/06/2024,98,92.2,98,98,409.07K,6.29%,,
24/06/2024,92.2,92.2,95,90,501.42K,0.00%,,
21/06/2024,92.2,92.2,93,86.2,605.19K,0.00%,,
20/06/2024,92.2,89.5,92.2,89.5,845.01K,3.02%,,
19/06/2024,89.5,89.5,89.5,82.1,88.74K,0.00%,,
14/06/2024,89.5,89.5,89,82.7,274.68K,0.00%,,
13/06/2024,89.5,89.5,89.4,80.55,112.06K,0.00%,,
11/6/2024,89.5,89.5,89.45,80.55,294.40K,0.00%,,
10/6/2024,89.5,82,89.5,82,1.39M,9.15%,,
7/6/2024,82,82,78.95,74.35,244.22K,0.00%,,
6/6/2024,82,82,79.2,74.2,61.58K,0.00%,,
5/6/2024,82,82,81,74.1,89.29K,0.00%,,
4/6/2024,82,82,80.9,75.15,55.20K,0.00%,,
3/6/2024,82,82,81.9,74.7,271.20K,-3.53%,,
31/05/2024,85,85,84,79.1,30.74K,0.00%,,
30/05/2024,85,85,83,79.25,150.38K,0.00%,,
29/05/2024,85,85,83.9,79.9,144.64K,0.00%,,
28/05/2024,85,85,83.9,78.05,127.01K,0.00%,,
27/05/2024,85,85,84,76.5,54.24K,0.00%,,
24/05/2024,85,85,85,85,769.21K,0.00%,,
23/05/2024,85,85,85,85,17.64M,0.00%,,
22/05/2024,85,79.3,85,85,667.69K,7.19%,,
21/05/2024,79.3,79.3,74.9,71.5,62.06K,0.00%,,
20/05/2024,79.3,79.3,78.95,71.4,129.45K,0.00%,,
17/05/2024,79.3,72.4,79.3,79.3,1.24M,9.53%,,
16/05/2024,72.4,72.4,69,65.2,355.58K,0.00%,,
15/05/2024,72.4,72.4,70.5,65.2,202.00K,0.00%,,
14/05/2024,72.4,72.4,70.55,65.9,43.73K,0.00%,,
13/05/2024,72.4,72.4,70.65,67.5,36.82K,0.00%,,
10/5/2024,72.4,72.4,72.15,66.1,399.97K,0.00%,,
9/5/2024,72.4,72.4,71.7,65.4,1.54M,0.00%,,
8/5/2024,72.4,72.4,69.5,65.2,319.37K,0.00%,,
7/5/2024,72.4,72.4,69.95,65.2,92.83K,0.00%,,
6/5/2024,72.4,72.4,70,65.2,266.59K,0.00%,,
3/5/2024,72.4,72.4,71.5,66.1,1.06M,0.00%,,
2/5/2024,72.4,68.05,72.4,72.4,966.29K,6.39%,,
30/04/2024,68.05,61.9,68.05,68.05,742.02K,9.94%,,
29/04/2024,61.9,58.5,61.9,61.9,205.38K,5.81%,,
26/04/2024,58.5,58.5,56.95,52.65,47.25K,0.00%,,
25/04/2024,58.5,58.5,55.65,52.65,77.68K,0.00%,,
24/04/2024,58.5,58.5,54,52.65,87.45K,0.00%,,
23/04/2024,58.5,58.5,55.75,52.65,100.42K,0.00%,,
22/04/2024,58.5,58.5,55.85,52.65,85.59K,0.00%,,
19/04/2024,58.5,58.5,55.8,52.65,74.72K,0.00%,,
18/04/2024,58.5,58.5,56,52.65,41.23K,0.00%,,
17/04/2024,58.5,58.5,56,52.65,191.29K,0.00%,,
16/04/2024,58.5,58.5,58,52.65,78.04K,0.00%,,
15/04/2024,58.5,58.5,57.85,52.65,426.30K,0.00%,,
12/4/2024,58.5,58.5,57.45,52.65,1.46M,0.00%,,
8/4/2024,58.5,58.5,58.5,53.05,24.18K,0.00%,,
5/4/2024,58.5,60,58.5,58.5,813.14K,-2.50%,,
4/4/2024,60,60,60,56.1,92.65K,0.00%,,
3/4/2024,60,59.95,60,60,473.66K,0.08%,,
2/4/2024,59.95,66,60,59.95,461.47K,-9.17%,,
28/03/2024,66,60.15,66,66,439.86K,9.73%,,
27/03/2024,60.15,60.15,60.15,60.15,5.74K,0.00%,,
26/03/2024,60.15,60.15,60.15,60.15,80.95K,0.00%,,
25/03/2024,60.15,60.15,60.15,60.15,93.32K,0.00%,,
22/03/2024,60.15,60.15,60.15,60.15,116.69K,0.00%,,
21/03/2024,60.15,63.15,60.15,60.15,295.85K,-4.75%,,
20/03/2024,63.15,69,63.15,63.15,353.23K,-8.48%,,
19/03/2024,69,72.6,69,65.35,4.39M,-4.96%,,
18/03/2024,72.6,72.6,72.6,65.35,2.15M,0.00%,,
15/03/2024,72.6,67.1,72.6,72.6,366.66K,8.20%,,
14/03/2024,67.1,67.1,70,63,258.66K,0.00%,,
13/03/2024,67.1,61,67.1,67,1.92M,10.00%,,
12/3/2024,61,55.6,61,61,461.03K,9.71%,,
11/3/2024,55.6,55.6,54,50.1,90.12K,0.00%,,
8/3/2024,55.6,55.6,53,50.05,98.92K,0.00%,,
7/3/2024,55.6,55.6,52.95,50.05,12.04K,0.00%,,
6/3/2024,55.6,55.6,53,50.05,93.52K,0.00%,,
5/3/2024,55.6,55.6,53.6,50.05,30.79K,0.00%,,
4/3/2024,55.6,55.6,53.5,50.05,339.03K,0.00%,,
1/3/2024,55.6,55.6,53.6,50.05,58.48K,0.00%,,
29/02/2024,55.6,55.6,53,50.05,472.29K,0.00%,,
28/02/2024,55.6,55.6,52,50.05,564.17K,0.00%,,
27/02/2024,55.6,55.6,53.6,52,36.74K,0.00%,,
26/02/2024,55.6,55.6,53.8,50.55,250.85K,0.00%,,
23/02/2024,55.6,55.6,54,50.55,26.33K,0.00%,,
22/02/2024,55.6,55.6,54,52.3,221.15K,0.00%,,
21/02/2024,55.6,55.6,54.95,52.6,88.47K,0.00%,,
20/02/2024,55.6,55.6,55,52.55,208.35K,0.00%,,
19/02/2024,55.6,55.6,55,52.55,93.14K,0.00%,,
16/02/2024,55.6,50.6,55.6,55.6,287.80K,9.88%,,
