Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,29.95,29.5,29.95,29.7,1.71M,1.53%
16/07/2024,29.5,29.5,29.5,29.5,720.58K,0.00%
15/07/2024,29.5,29.7,29.5,29.5,1.69M,-0.67%
12/7/2024,29.7,29.7,30,29,427.36K,0.00%
11/7/2024,29.7,29.7,29.95,29.1,884.24K,0.00%
10/7/2024,29.7,29.7,29.7,29.7,872.96K,0.00%
9/7/2024,29.7,29.7,29.95,29.4,779.45K,0.00%
8/7/2024,29.7,29.1,29.7,29.7,657.20K,2.06%
5/7/2024,29.1,29.1,29.9,28.9,308.94K,0.00%
4/7/2024,29.1,29.1,29.95,29.1,526.57K,0.00%
3/7/2024,29.1,29.1,29.95,29,392.33K,0.00%
2/7/2024,29.1,29,29.1,29,1.27M,0.34%
1/7/2024,29,29.5,29,29,734.88K,-1.69%
28/06/2024,29.5,29.5,29.5,29.5,953.95K,0.00%
27/06/2024,29.5,29,30,29.1,2.50M,1.72%
26/06/2024,29,28.75,29.85,29,2.42M,0.87%
25/06/2024,28.75,29,29,28.75,749.22K,-0.86%
24/06/2024,29,29,29,29,1.61M,0.00%
21/06/2024,29,29,31.45,29.1,525.07K,0.00%
20/06/2024,29,29,31.5,28.5,1.05M,0.00%
19/06/2024,29,31.65,29,29,1.49M,-8.37%
14/06/2024,31.65,31.9,31.65,31.65,1.82M,-0.78%
13/06/2024,31.9,29,31.9,30,5.27M,10.00%
11/6/2024,29,28,29,28,101.58M,3.57%
10/6/2024,28,27.35,28,28,45.26M,2.38%
7/6/2024,27.35,27.9,28,27.35,32.45M,-1.97%
6/6/2024,27.9,28.6,27.9,27.9,703.86K,-2.45%
5/6/2024,28.6,28.6,28.6,26,984.47K,0.00%
4/6/2024,28.6,26,28.6,27.5,2.02M,10.00%
3/6/2024,26,26.5,26.5,26,1.34M,-1.89%
31/05/2024,26.5,26.55,26.5,26.5,1.31M,-0.19%
30/05/2024,26.55,26.5,26.55,26.55,1.26M,0.19%
29/05/2024,26.5,26.9,26.5,26.5,1.94M,-1.49%
28/05/2024,26.9,24.85,26.9,26.9,2.47M,8.25%
27/05/2024,24.85,23.75,25,24.85,1.01M,4.63%
24/05/2024,23.75,23.75,25,24,571.99K,0.00%
23/05/2024,23.75,23.9,23.75,23.5,2.49M,-0.63%
22/05/2024,23.9,23.1,23.9,23.15,10.61M,3.46%
21/05/2024,23.1,23.1,23.1,23.1,1.30M,0.00%
20/05/2024,23.1,23,23.1,23,13.74M,0.43%
17/05/2024,23,23,24.1,22.9,857.25K,0.00%
16/05/2024,23,22.6,23,23,83.75M,1.77%
15/05/2024,22.6,23,22.6,22.6,2.20M,-1.74%
14/05/2024,23,23,23.15,23,27.46M,0.00%
13/05/2024,23,23.5,23.6,23,7.15M,-2.13%
10/5/2024,23.5,24,23.8,23.5,4.91M,-2.08%
9/5/2024,24,24,24,23,300.36M,0.00%
8/5/2024,24,24,24.2,23.9,867.42K,0.00%
7/5/2024,24,24.5,24.2,24,21.82M,-2.04%
6/5/2024,24.5,25.6,24.9,24.5,3.11M,-4.30%
3/5/2024,25.6,25.6,25.6,24.95,989.75K,0.00%
2/5/2024,25.6,25.6,25.75,25.6,31.21M,0.00%
30/04/2024,25.6,26,26,25.6,22.05M,-1.54%
29/04/2024,26,26.8,26,26,17.29M,-2.99%
26/04/2024,26.8,27.6,26.8,26.8,15.59M,-2.90%
25/04/2024,27.6,27.95,27.6,27.6,20.30M,-1.25%
24/04/2024,27.95,28,28,27.95,20.54M,-0.18%
23/04/2024,28,28,28,27.85,53.14K,0.00%
22/04/2024,28,28,28.6,27.85,236.33K,0.00%
19/04/2024,28,28.05,28,28,318.90K,-0.18%
18/04/2024,28.05,28.05,28.95,27.9,264.77K,0.00%
17/04/2024,28.05,28.05,28.95,27.95,299.91K,0.00%
16/04/2024,28.05,28.05,30.45,27.8,582.15K,0.00%
15/04/2024,28.05,28,28.85,28,12.31M,0.18%
12/4/2024,28,28.05,28.15,28,27.72M,-0.18%
8/4/2024,28.05,28.9,28.9,28,7.13M,-2.94%
5/4/2024,28.9,29.1,28.95,28.9,17.69M,-0.69%
4/4/2024,29.1,29.05,29.1,29.1,2.50M,0.17%
3/4/2024,29.05,29.1,29.3,29.05,2.84M,-0.17%
2/4/2024,29.1,29.35,29.1,29.05,2.07M,-0.85%
28/03/2024,29.35,28.05,29.5,28.35,4.10M,4.63%
27/03/2024,28.05,28,28.15,28,8.94M,0.18%
26/03/2024,28,28,28.25,28,22.62M,0.00%
25/03/2024,28,29,29,27.95,17.43M,0.00%
22/03/2024,28,29,29,28,21.38M,-3.45%
21/03/2024,29,29,29,29,964.53K,0.00%
20/03/2024,29,29,29,29,2.50M,0.00%
19/03/2024,29,29.5,29.05,29,2.76M,-1.69%
18/03/2024,29.5,29.8,29.5,29.5,1.29M,-1.01%
15/03/2024,29.8,29.8,30,29.5,754.63K,0.00%
14/03/2024,29.8,29.35,29.8,29.8,2.01M,1.53%
13/03/2024,29.35,29.5,29.6,29.1,5.34M,-0.51%
12/3/2024,29.5,29,29.5,29.5,2.06M,1.72%
11/3/2024,29,29,29,29,1.35M,0.00%
8/3/2024,29,29,29.3,29,2.42M,0.00%
7/3/2024,29,30.1,29,29,1.08M,-3.65%
6/3/2024,30.1,30.1,30.1,30.1,1.81M,0.00%
5/3/2024,30.1,30.1,30.1,30.1,1.82M,0.00%
4/3/2024,30.1,32.5,32.5,30.1,925.52K,-7.38%
1/3/2024,32.5,32.5,33.5,30,974.70K,0.00%
29/02/2024,32.5,30.6,32.5,32.5,2.02M,6.21%
28/02/2024,30.6,34,34,30.6,1.80M,-10.00%
27/02/2024,34,34,34,33,577.24K,0.00%
26/02/2024,34,34,34.55,32.05,1.18M,0.00%
23/02/2024,34,34.55,34,34,729.23K,-1.59%
22/02/2024,34.55,34.55,34.55,34.05,753.61K,0.00%
21/02/2024,34.55,34.55,36.5,34,723.27K,0.00%
20/02/2024,34.55,34.55,34.95,34.1,997.44K,0.00%
19/02/2024,34.55,38,34.55,34.55,1.09M,-9.08%
16/02/2024,38,38,38,38,5.27M,0.00%
15/02/2024,38,38,38,38,2.44M,0.00%
14/02/2024,38,37.6,38,38,25.49M,1.06%
13/02/2024,37.6,39,38,37.6,1.82M,-3.59%
12/2/2024,39,38,39,38.6,2.95M,2.63%
9/2/2024,38,38.95,38,38,1.60M,-2.44%
8/2/2024,38.95,38.95,39,36,952.19K,0.00%
7/2/2024,38.95,38.95,39,37.55,675.95K,0.00%
6/2/2024,38.95,38,38.95,38,1.24M,2.50%
5/2/2024,38,39,39,38,29.75M,-2.56%
2/2/2024,39,37,39,38.6,1.95M,5.41%
1/2/2024,37,37,37.9,36,507.48K,0.00%
31/01/2024,37,38.7,37,37,952.07K,-4.39%
30/01/2024,38.7,38.7,39.5,37.85,969.94K,0.00%
29/01/2024,38.7,38.7,39.95,38,768.42K,0.00%
26/01/2024,38.7,39.5,38.7,38.7,842.46K,-2.03%
25/01/2024,39.5,40,40,39.5,1.10M,-1.25%
24/01/2024,40,40,41.8,39,323.67K,0.00%
23/01/2024,40,40,40,40,1.25M,0.00%
22/01/2024,40,40,40,40,1.43M,0.00%
19/01/2024,40,42,41.5,40,19.45M,-4.76%
18/01/2024,42,42,42,41.35,4.79M,0.00%
17/01/2024,42,41.25,43,41.95,48.01M,1.82%
16/01/2024,41.25,37.5,41.25,37.85,34.83M,10.00%
15/01/2024,37.5,37.5,37.55,37.5,7.09M,0.00%
12/1/2024,37.5,37,37.5,37.5,2.41M,1.35%
11/1/2024,37,37,37,37,736.82K,0.00%
10/1/2024,37,37,37.1,37,3.56M,0.00%
9/1/2024,37,37,37.5,37,7.52M,0.00%
8/1/2024,37,37.05,37.05,37,8.87M,-0.13%
5/1/2024,37.05,36.55,37.05,37.05,2.38M,1.37%
4/1/2024,36.55,37.05,37,36.55,2.34M,-1.35%
3/1/2024,37.05,37,37.05,37,4.84M,0.14%
2/1/2024,37,36,37,36.85,1.30M,2.78%
29/12/2023,36,36.9,36.05,36,3.24M,-2.44%
28/12/2023,36.9,37,37.05,36.9,2.97M,-0.27%
27/12/2023,37,36,37.05,36,2.90M,2.78%
22/12/2023,36,36,36.5,35.75,662.51K,0.00%
21/12/2023,36,36,36,36,2.06M,0.00%
20/12/2023,36,36,36,35.95,3.32M,0.00%
19/12/2023,36,37.9,36.2,36,3.36M,-5.01%
18/12/2023,37.9,37.9,37,36.4,661.57K,0.00%
15/12/2023,37.9,36.4,37.9,37.9,3.21M,4.12%
14/12/2023,36.4,37.05,37.05,36.4,1.84M,-1.75%
13/12/2023,37.05,37.05,37.05,36.5,202.41K,0.00%
12/12/2023,37.05,37.05,37.05,36.9,499.64K,0.00%
11/12/2023,37.05,37.05,37.05,37.05,1.11M,0.00%
8/12/2023,37.05,37.1,37.05,37.05,28.61M,-0.13%
7/12/2023,37.1,37.05,37.1,37.05,37.46M,0.13%
6/12/2023,37.05,37.05,37.5,37.05,199.96K,0.00%
5/12/2023,37.05,37.05,37.6,37,646.55K,0.00%
4/12/2023,37.05,37.05,38,37,421.84K,0.00%
1/12/2023,37.05,37.05,38,37.15,235.95K,0.00%
30/11/2023,37.05,37.05,37.95,37.05,184.55K,0.00%
29/11/2023,37.05,38,37.05,37.05,796.83K,-2.50%
28/11/2023,38,38.1,38,38,7.48M,-0.26%
27/11/2023,38.1,38,38.1,38.1,755.20K,0.26%
24/11/2023,38,39,38,38,1.29M,-2.56%
23/11/2023,39,39,39,38.5,650.94K,0.00%
22/11/2023,39,39,39,37.55,242.46K,0.00%
21/11/2023,39,39,39,37.55,279.13K,0.00%
20/11/2023,39,40,39,39,5.42M,-2.50%
17/11/2023,40,40,39,38.5,442.82K,0.00%
16/11/2023,40,38,40,38,2.75M,5.26%
15/11/2023,38,38,38,38,1.55M,0.00%
14/11/2023,38,38,38.9,37.05,175.05K,0.00%
13/11/2023,38,38,38,38,11.56M,0.00%
10/11/2023,38,38,38,38,7.69M,0.00%
