Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,850,893,893,840,70.88K,-7.61%
16/07/2024,920,920,899.9,850,12.27K,0.00%
15/07/2024,920,920,900,830.4,6.60K,0.00%
12/7/2024,920,920,890,845,86.11K,0.00%
11/7/2024,920,920,900,850,59.20K,0.00%
10/7/2024,920,920,900,860,18.77K,0.00%
9/7/2024,920,920,900,880.1,37.18K,0.00%
8/7/2024,920,920,916,880,8.21K,0.00%
5/7/2024,920,920,915,881,20.76K,0.00%
4/7/2024,920,920,919.9,881,23.98K,0.00%
3/7/2024,920,920,920,832,7.64K,0.00%
2/7/2024,920,920,916,891.1,3.76K,0.00%
1/7/2024,920,920,928,890.5,15.25K,0.00%
28/06/2024,920,920,920,900,11.02K,0.00%
27/06/2024,920,920,920,903,21.86K,0.00%
26/06/2024,920,920,920,910,5.80K,0.00%
25/06/2024,920,920,920,906,35.87K,0.00%
24/06/2024,920,920,929.9,905,13.05K,0.00%
21/06/2024,920,925.1,920,920,212.44K,-0.55%
20/06/2024,925.1,925.1,946,925,4.51K,0.00%
19/06/2024,925.1,925,925.1,925.1,246.39K,0.01%
14/06/2024,925,910,925,925,129.57K,1.65%
13/06/2024,910,910,943.9,921,110.01K,0.00%
11/6/2024,910,910,944.9,920.1,123.76K,0.00%
10/6/2024,910,910,954,925,3.04K,0.00%
7/6/2024,910,910,953,922.1,16.55K,0.00%
6/6/2024,910,910,952,920,37.14K,0.00%
5/6/2024,910,905,910,910,171.19K,0.55%
4/6/2024,905,905,949.6,900,48.74K,0.00%
3/6/2024,905,905,964,901.5,6.24K,0.00%
31/05/2024,905,900,905,905,377.08K,0.56%
30/05/2024,900,900,940,900.4,11.71K,0.00%
29/05/2024,900,900,951.7,900,12.93K,0.00%
28/05/2024,900,900,959,900,12.93K,0.00%
27/05/2024,900,900,963.4,900.1,5.74K,0.00%
24/05/2024,900,900,973,900,9.15K,0.00%
23/05/2024,900,900,920,905,2.81K,0.00%
22/05/2024,900,900,900.5,900,10.78K,0.00%
21/05/2024,900,820,900,900,479.62K,9.76%
20/05/2024,820,820,900,890,75.04K,0.00%
17/05/2024,820,820,900,871.5,4.83K,0.00%
16/05/2024,820,820,900,890,84.90K,0.00%
15/05/2024,820,820,899.9,850.7,11.83K,-7.87%
14/05/2024,890,840,898.9,840,14.01K,8.54%
13/05/2024,820,820,898.8,840.2,10.55K,-3.53%
10/5/2024,850,895,895,847.1,5.05K,-5.01%
9/5/2024,894.8,899,899,830.1,5.76K,5.27%
8/5/2024,850,839.8,850,811,767.15K,3.66%
7/5/2024,820,839.9,840,812,132.11K,1.86%
6/5/2024,805,855,855,805,30.54K,1.13%
3/5/2024,796,796,857.3,815.5,70.73K,0.00%
2/5/2024,796,796,869,812.3,119.80K,0.00%
30/04/2024,796,796,849.5,795.4,455.43K,0.00%
29/04/2024,796,795.3,796,796,643.54K,0.09%
26/04/2024,795.3,820,795.3,795.3,685.87K,-3.01%
25/04/2024,820,820,835,786,41.43K,0.00%
24/04/2024,820,820,820,820,571.39K,0.00%
23/04/2024,820,900,820,820,823.44K,-8.89%
22/04/2024,900,900,840,831.5,7.15K,0.00%
19/04/2024,900,900,840,831.5,15.40K,0.00%
18/04/2024,900,900,839.9,831.5,9.96K,0.00%
17/04/2024,900,900,840,835,15.96K,0.00%
16/04/2024,900,900,898,835.5,324.57K,0.00%
15/04/2024,900,900,899.4,825.5,14.12K,0.00%
12/4/2024,900,900.1,900,900,336.31K,-0.01%
8/4/2024,900.1,900.1,901,860.2,48.47K,0.00%
5/4/2024,900.1,900.1,944.9,900,18.62K,0.00%
4/4/2024,900.1,900.1,943,902,77.19K,0.00%
3/4/2024,900.1,900.1,950,902.1,32.52K,0.00%
2/4/2024,900.1,900.1,964.9,905,18.01K,0.00%
28/03/2024,900.1,900,900.1,900,1.01M,0.01%
27/03/2024,900,899.9,900,900,226.61K,0.01%
26/03/2024,899.9,900,899.9,899.9,614.01K,-0.01%
25/03/2024,900,900,900,900,28.15K,0.00%
22/03/2024,900,900,900,900,300.32K,0.00%
21/03/2024,900,901,900,900,2.03M,-0.11%
20/03/2024,901,901,950,898,10.97K,0.00%
19/03/2024,901,901,950,899,70.68K,0.00%
18/03/2024,901,901,969.8,902,6.09K,0.00%
15/03/2024,901,901,919.5,900.1,9.64K,0.00%
14/03/2024,901,901,901,901,1.11M,0.00%
13/03/2024,901,901,901,901,1.67M,0.00%
12/3/2024,901,900.1,901,901,513.05K,0.10%
11/3/2024,900.1,900,900.1,900.1,260.87K,0.01%
8/3/2024,900,900,900,900,1.17M,0.00%
7/3/2024,900,900,925,890,18.57K,0.00%
6/3/2024,900,900,919,875,11.46K,0.00%
5/3/2024,900,900,979,822,19.87K,0.00%
4/3/2024,900,900,977,892,14.56K,0.00%
1/3/2024,900,900,968.4,891,43.21K,0.00%
29/02/2024,900,990,900,900,1.18M,-9.09%
28/02/2024,990,990,999,891.1,221.61K,0.00%
27/02/2024,990,990,990,891,79.18K,0.00%
26/02/2024,990,"1,100.00",990,990,340.88K,-10.00%
23/02/2024,"1,100.00","1,100.00","1,000.00",990,217.82K,0.00%
22/02/2024,"1,100.00","1,100.00",990,990,4.22K,0.00%
21/02/2024,"1,100.00","1,100.00",999,990,9.60K,0.00%
20/02/2024,"1,100.00","1,100.00","1,000.00",990,9.91K,0.00%
19/02/2024,"1,100.00","1,100.00","1,029.80",990,7.48K,0.00%
16/02/2024,"1,100.00","1,100.00","1,020.00",990,34.47K,0.00%
15/02/2024,"1,100.00","1,100.00","1,077.00",990.1,24.72K,0.00%
14/02/2024,"1,100.00","1,100.00","1,090.00",995,40.28K,0.00%
13/02/2024,"1,100.00","1,100.00","1,099.90","1,010.00",15.19K,0.00%
12/2/2024,"1,100.00","1,100.00","1,146.60",990,115.10K,0.00%
9/2/2024,"1,100.00","1,100.00","1,130.00","1,100.00",82.02K,0.00%
8/2/2024,"1,100.00","1,100.00","1,149.00","1,100.00",45.51K,0.00%
7/2/2024,"1,100.00","1,100.00","1,150.00","1,100.00",28.43K,0.00%
6/2/2024,"1,100.00","1,100.00","1,147.90","1,105.00",34.50K,0.00%
5/2/2024,"1,100.00","1,100.00","1,100.00","1,100.00",607.08K,0.00%
2/2/2024,"1,100.00","1,090.00","1,100.00","1,100.00",1.91M,0.92%
1/2/2024,"1,090.00","1,090.00","1,147.90","1,050.00",10.32K,0.00%
31/01/2024,"1,090.00","1,090.00","1,125.00","1,049.00",68.54K,0.00%
30/01/2024,"1,090.00","1,090.00","1,116.70","1,060.00",48.82K,0.00%
29/01/2024,"1,090.00","1,100.00","1,090.00","1,090.00",534.55K,-0.91%
26/01/2024,"1,100.00","1,100.00","1,150.00","1,100.00",120.12K,0.00%
25/01/2024,"1,100.00","1,100.00","1,145.00","1,080.00",43.82K,0.00%
24/01/2024,"1,100.00","1,100.00","1,150.00",990.1,28.45K,0.00%
23/01/2024,"1,100.00","1,110.00","1,100.00","1,100.00",254.39K,-0.90%
22/01/2024,"1,110.00","1,196.00","1,110.00","1,110.00",1.77M,-7.19%
19/01/2024,"1,196.00","1,196.00","1,158.50","1,113.10",10.54K,0.00%
18/01/2024,"1,196.00","1,196.00","1,158.50","1,103.00",24.66K,0.00%
17/01/2024,"1,196.00","1,196.00","1,140.00","1,102.00",39.40K,0.00%
16/01/2024,"1,196.00","1,196.00","1,157.90","1,105.00",15.49K,0.00%
15/01/2024,"1,196.00","1,196.00","1,158.00","1,101.00",68.38K,0.00%
12/1/2024,"1,196.00","1,196.00","1,155.00","1,102.50",104.30K,0.00%
11/1/2024,"1,196.00","1,196.00","1,158.50","1,098.60",105.63K,0.00%
10/1/2024,"1,196.00","1,196.00","1,158.50","1,100.20",47.23K,0.00%
9/1/2024,"1,196.00","1,196.00","1,160.00","1,100.00",287.29K,0.00%
8/1/2024,"1,196.00","1,196.00","1,196.00","1,098.00",48.26K,0.00%
5/1/2024,"1,196.00","1,100.00","1,196.00","1,196.00",1.43M,8.73%
4/1/2024,"1,100.00","1,100.00","1,098.70","1,053.00",26.86K,0.00%
3/1/2024,"1,100.00","1,100.00","1,100.00","1,025.00",37.32K,0.00%
2/1/2024,"1,100.00","1,100.00","1,104.00","1,026.40",28.74K,0.00%
29/12/2023,"1,100.00","1,100.00","1,109.80","1,010.00",22.32K,0.00%
28/12/2023,"1,100.00","1,100.00","1,120.00","1,030.20",57.84K,0.00%
27/12/2023,"1,100.00","1,130.00","1,100.00","1,100.00",244.41K,-2.65%
22/12/2023,"1,130.00","1,130.00","1,150.00","1,110.10",188.70K,0.00%
21/12/2023,"1,130.00","1,150.00","1,130.00","1,130.00",2.34M,-1.74%
20/12/2023,"1,150.00","1,150.00","1,126.00","1,100.00",91.96K,0.00%
19/12/2023,"1,150.00","1,150.00","1,136.00","1,100.00",191.06K,0.00%
18/12/2023,"1,150.00","1,150.00","1,140.00","1,086.60",16.73K,0.00%
15/12/2023,"1,150.00","1,150.00","1,140.00","1,100.00",24.01K,0.00%
14/12/2023,"1,150.00","1,150.00","1,150.00","1,100.10",3.26K,0.00%
13/12/2023,"1,150.00","1,150.00","1,150.00","1,130.00",86.25K,0.00%
12/12/2023,"1,150.00","1,150.00","1,140.00","1,060.00",3.37K,0.00%
11/12/2023,"1,150.00","1,150.00","1,149.90","1,055.00",27.51K,0.00%
8/12/2023,"1,150.00","1,150.00","1,149.90","1,080.00",5.40K,0.00%
7/12/2023,"1,150.00","1,150.00","1,150.00","1,100.00",12.08K,0.00%
6/12/2023,"1,150.00","1,150.00","1,150.00","1,101.00",15.77K,0.00%
5/12/2023,"1,150.00","1,150.00","1,161.00","1,081.00",15.84K,0.00%
4/12/2023,"1,150.00","1,150.00","1,155.00","1,150.00",6.25K,0.00%
1/12/2023,"1,150.00","1,150.00","1,174.90","1,150.00",49.64K,0.00%
