Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,"99,976.70","100,075.59","100,277.80","99,970.66",922.21M,-0.10%
16/07/2024,"100,075.59","99,938.56","100,077.30","99,891.74",368.36M,0.10%
15/07/2024,"99,971.64","99,671.28","99,981.58","99,671.28",362.39M,0.30%
12/7/2024,"99,671.28","99,468.90","99,753.65","99,417.91",420.87M,0.20%
11/7/2024,"99,468.90","99,802.08","99,827.60","99,441.78",296.72M,-0.33%
10/7/2024,"99,802.08","99,805.95","99,805.95","99,710.76",935.10M,0.00%
9/7/2024,"99,805.95","99,855.39","99,895.11","99,799.91",304.12M,-0.20%
8/7/2024,"100,007.11","99,918.91","100,014.71","99,909.78",689.96M,-0.01%
5/7/2024,"100,022.03","100,063.32","100,102.79","99,877.68",412.64M,-0.04%
4/7/2024,"100,063.55","100,299.48","100,388.76","99,864.15",863.57M,-0.24%
3/7/2024,"100,299.48","100,071.30","100,308.97","100,071.30",342.19M,0.23%
2/7/2024,"100,067.77","100,020.83","100,171.03","100,012.14",365.64M,0.05%
1/7/2024,"100,020.83","100,057.49","100,094.51","99,972.31",274.67M,-0.04%
28/06/2024,"100,057.49","99,396.23","100,067.68","99,396.23",509.70M,0.67%
27/06/2024,"99,396.23","99,385.27","99,839.87","99,290.43",529.37M,0.01%
26/06/2024,"99,385.44","99,214.77","99,439.15","99,214.76",276.35M,0.17%
25/06/2024,"99,217.60","99,304.12","99,304.12","99,169.02",361.57M,-0.44%
24/06/2024,"99,656.38","99,743.05","99,834.00","99,538.70",973.60M,-0.09%
21/06/2024,"99,743.05","99,944.48","100,045.03","99,633.13",617.22M,-0.10%
20/06/2024,"99,843.06","99,840.95","100,042.70","99,756.04",1.30B,0.00%
19/06/2024,"99,842.19","99,925.29","100,119.76","99,778.78",1.38B,-0.08%
14/06/2024,"99,925.88","99,836.64","99,925.88","99,712.74",318.09M,0.09%
13/06/2024,"99,832.25","99,630.51","99,832.25","99,621.86",502.59M,0.20%
11/6/2024,"99,630.51","99,784.64","99,919.19","99,630.51",848.94M,-0.16%
