Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,23.85,23,24,23,23.84M,3.70%
16/07/2024,23,22.85,23,22.85,20.31M,0.66%
15/07/2024,22.85,22.75,23,22.8,8.11M,0.44%
12/7/2024,22.75,23,23,22.75,5.39M,-1.09%
11/7/2024,23,22.75,23,22.9,6.36M,1.10%
10/7/2024,22.75,23.05,23.25,22.5,26.36M,-1.30%
9/7/2024,23.05,23.7,23.5,23.05,10.27M,-2.74%
8/7/2024,23.7,23.9,23.9,23,35.98M,0.00%
5/7/2024,23.7,23.55,24,23.15,10.78M,0.64%
4/7/2024,23.55,22.75,24.35,22.95,35.98M,3.52%
3/7/2024,22.75,22.75,23,22.75,8.60M,0.00%
2/7/2024,22.75,22.25,23.45,22.3,25.85M,2.25%
1/7/2024,22.25,22.45,22.5,22,7.49M,-0.89%
28/06/2024,22.45,22.4,22.45,22.3,12.06M,0.22%
27/06/2024,22.4,21.55,22.4,21.7,25.36M,3.94%
26/06/2024,21.55,21.7,21.85,21.4,11.32M,-0.69%
25/06/2024,21.7,21.95,21.9,21.65,14.03M,-1.14%
24/06/2024,21.95,22,22.5,21.85,13.79M,-0.23%
21/06/2024,22,22.2,22.7,22,11.83M,-0.90%
20/06/2024,22.2,22.05,22.25,22.1,6.16M,0.68%
19/06/2024,22.05,22.35,22.55,21.95,21.64M,-1.34%
14/06/2024,22.35,23,23.05,22,15.69M,-2.83%
13/06/2024,23,21.65,23,21.85,23.17M,6.24%
11/6/2024,21.65,21.6,21.95,21.45,30.30M,0.23%
10/6/2024,21.6,21,21.9,21,58.73M,2.86%
7/6/2024,21,21,21,20.9,26.56M,0.00%
6/6/2024,21,20.8,21.2,20.95,9.81M,0.96%
5/6/2024,20.8,21,21.4,20,9.80M,-0.95%
4/6/2024,21,21.9,21.7,20.95,19.78M,-4.11%
3/6/2024,21.9,22.2,22.2,21.9,7.62M,-1.35%
31/05/2024,22.2,22.6,22.65,22.2,13.40M,-1.77%
30/05/2024,22.6,22.3,22.7,22.35,17.22M,1.35%
29/05/2024,22.3,21.9,23.5,21.95,23.90M,1.83%
28/05/2024,21.9,20.3,21.9,20.05,21.98M,7.88%
27/05/2024,20.3,19.2,20.95,20.3,21.16M,5.73%
24/05/2024,19.2,20,20.1,18.95,38.93M,-4.00%
23/05/2024,20,20.35,20.95,18.9,50.32M,-1.72%
22/05/2024,20.35,20.8,20.85,20.3,31.28M,-2.16%
