Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,17.95,17.1,18.3,17.1,541.94K,3.76%
16/07/2024,17.3,17.3,18,17.25,241.55K,0.00%
15/07/2024,17.3,17.2,17.3,17.3,302.30K,0.58%
12/7/2024,17.2,17.1,17.2,17.2,263.35K,0.58%
11/7/2024,17.1,17.1,17.75,17,93.66K,0.00%
10/7/2024,17.1,17.1,17.1,17.1,862.52K,0.00%
9/7/2024,17.1,17,17.1,17.1,283.16K,0.59%
8/7/2024,17,17.45,17,17,1.33M,-2.58%
5/7/2024,17.45,17.45,17.9,17.05,124.14K,0.00%
4/7/2024,17.45,17.45,18,16.9,344.53K,0.00%
3/7/2024,17.45,17.45,17.45,16.9,74.06K,0.00%
2/7/2024,17.45,18,17.45,17.45,341.54K,-3.06%
1/7/2024,18,18,18,18,1.26M,0.00%
28/06/2024,18,17.85,18,18,175.08K,0.84%
27/06/2024,17.85,17.85,17.9,17.3,262.19K,0.00%
26/06/2024,17.85,16.5,18.15,17.85,716.91K,8.18%
25/06/2024,16.5,16.5,18,16.8,279.03K,0.00%
24/06/2024,16.5,16.5,18,16.75,207.96K,0.00%
21/06/2024,16.5,16.2,17.8,16.5,5.99M,1.85%
20/06/2024,16.2,15.05,16.2,16.2,395.59K,7.64%
19/06/2024,15.05,15.05,16.55,15.45,91.42K,0.00%
14/06/2024,15.05,15.05,16.55,15.35,191.27K,0.00%
13/06/2024,15.05,15.85,15.05,15.05,1.09M,-5.05%
11/6/2024,15.85,15.85,16.65,15.85,273.11K,0.00%
10/6/2024,15.85,15.15,15.85,15.85,976.47K,4.62%
7/6/2024,15.15,15.15,15.85,15.25,134.30K,0.00%
6/6/2024,15.15,15.15,15.15,15.15,295.79K,0.00%
5/6/2024,15.15,15.05,15.2,15.15,1.41M,0.66%
4/6/2024,15.05,15.05,15.8,15.3,67.26K,0.00%
3/6/2024,15.05,15.05,16,15.05,151.81K,0.00%
31/05/2024,15.05,15.05,15.9,14.9,161.69K,0.00%
30/05/2024,15.05,15.05,15.75,15.2,166.09K,0.00%
29/05/2024,15.05,15.05,15.95,15,89.64K,0.00%
28/05/2024,15.05,15,15.05,15.05,1.03M,0.33%
27/05/2024,15,15,15,15,436.55K,0.00%
24/05/2024,15,15,15,15,1.39M,0.00%
23/05/2024,15,15,15.8,15,147.18K,0.00%
22/05/2024,15,15,15,15,443.15K,0.00%
21/05/2024,15,15,15,15,346.66K,0.00%
20/05/2024,15,15,15.1,15,710.98K,0.00%
