Date,Price,Open,High,Low,Vol.,Change %
17/07/2024,40,39.95,40,39.3,77.75M,0.00%
16/07/2024,40,39,40,38,57.42M,2.56%
15/07/2024,39,37.05,39,37,15.70M,5.26%
12/7/2024,37.05,36.55,37.05,36.55,4.97M,-0.13%
11/7/2024,37.1,37.05,37.1,37,11.86M,0.13%
10/7/2024,37.05,37.5,37.3,36.25,36.35M,-1.20%
9/7/2024,37.5,37.65,37.6,37.25,17.54M,-0.40%
8/7/2024,37.65,37.5,37.65,37.05,12.36M,0.40%
5/7/2024,37.5,37.45,37.75,37,16.43M,0.13%
4/7/2024,37.45,35.85,37.45,35.9,24.02M,4.46%
3/7/2024,35.85,35.7,35.85,35.7,6.84M,0.42%
2/7/2024,35.7,34.8,35.7,34.55,9.06M,2.59%
1/7/2024,34.8,35.7,35.65,34.8,6.81M,-2.52%
28/06/2024,35.7,35.5,35.75,35.3,7.64M,0.56%
27/06/2024,35.5,35.7,35.6,35.5,5.28M,-0.56%
26/06/2024,35.7,35.2,35.7,34.65,6.77M,1.42%
25/06/2024,35.2,35.85,35.8,35.2,6.59M,-1.81%
24/06/2024,35.85,35.9,35.85,35.05,12.56M,-0.14%
21/06/2024,35.9,35.95,36,34,15.75M,-0.14%
20/06/2024,35.95,36,36,35,12.52M,-0.14%
19/06/2024,36,36,36.2,35.3,15.27M,0.00%
14/06/2024,36,36,36,35.7,28.03M,0.00%
13/06/2024,36,35,36.25,34.85,71.22M,2.86%
11/6/2024,35,34.8,35,34,74.28M,0.57%
10/6/2024,34.8,33.25,34.8,33.05,16.08M,4.66%
7/6/2024,33.25,33,33.25,32.9,43.24M,0.76%
6/6/2024,33,32.9,33,32.4,6.74M,0.30%
5/6/2024,32.9,32,32.9,31.95,6.05M,2.81%
4/6/2024,32,33,33.05,32,6.12M,-3.03%
3/6/2024,33,33,33.5,33,7.11M,0.00%
31/05/2024,33,33,33.75,33,111.13M,0.00%
30/05/2024,33,32.5,33.65,32.95,39.23M,1.54%
29/05/2024,32.5,31.4,33.1,31.9,13.66M,3.50%
28/05/2024,31.4,30.75,31.45,30.85,13.83M,2.11%
27/05/2024,30.75,30,32,30.7,8.82M,2.50%
24/05/2024,30,30.85,32.95,29.95,24.49M,-2.76%
23/05/2024,30.85,31,31,29.7,28.94M,-0.48%
22/05/2024,31,32.5,32.95,30.75,35.36M,-4.62%
21/05/2024,32.5,31.8,34,32.5,7.70M,2.20%
20/05/2024,31.8,32.8,32.8,31,15.26M,-3.05%
17/05/2024,32.8,32.5,33.2,32.8,4.86M,0.92%
16/05/2024,32.5,34,34,32.1,10.65M,-2.40%
15/05/2024,33.3,34.4,34.45,33.3,7.31M,-2.35%
14/05/2024,34.1,34.7,34.7,34.1,15.59M,-1.73%
13/05/2024,34.7,34,34.7,34.45,30.45M,2.06%
10/5/2024,34,34.5,35,33.8,35.10M,0.00%
9/5/2024,34,33.8,34.8,33.7,33.95M,0.59%
8/5/2024,33.8,34.7,35,33.5,11.34M,-2.59%
7/5/2024,34.7,35,35.3,34.7,20.47M,-0.29%
6/5/2024,34.8,35.8,37.6,34.8,26.90M,0.58%
3/5/2024,34.6,32.5,34.7,32.5,18.98M,5.65%
2/5/2024,32.75,32.1,32.8,32.45,15.85M,2.02%
30/04/2024,32.1,31.3,32.3,32,11.88M,2.56%
29/04/2024,31.3,32.6,32.25,31.25,18.72M,-3.99%
26/04/2024,32.6,32.9,33.5,32.6,23.94M,-10.44%
25/04/2024,36.4,36.6,37,36.3,48.49M,-0.55%
24/04/2024,36.6,36,37.5,36.5,46.16M,1.67%
23/04/2024,36,37.9,38,36,21.25M,-5.01%
22/04/2024,37.9,35.5,37.9,36,15.17M,6.76%
19/04/2024,35.5,36,36.5,35.5,24.41M,-1.39%
18/04/2024,36,35.4,37.5,35.5,22.01M,1.69%
17/04/2024,35.4,35.4,36.8,35,47.03M,0.00%
16/04/2024,35.4,38.65,38.95,35.4,41.36M,-8.41%
15/04/2024,38.65,40,39.95,38.6,14.31M,-3.37%
12/4/2024,40,42.5,43,39,135.81M,-3.73%
8/4/2024,41.55,42.5,42.5,41.55,16.10M,-2.24%
